"nr","cod_lmi","cod_lmi_jud","cod_lmi_nat","cod_lmi_grupa","cod_lmi_val","cod_lmi_num","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","latitudine_y","longitudine_x","cota","adresa","observatii_adresa","cod_postal","strada_nume","strada_numar","tip_patrimoniu","program_arhitectura","tip_monument","datare","fotografiat","existent","constructie_noua","stare_generala","observatii","observatii_cc"
409,"B-II-m-B-18355","B","II","m","B",18355,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4330510656307,26.1151338923631,,"Calea Călărașilor 58 sector 3",,,"Calea Călărașilor",58,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","PUTERNIC DEGRADAT",".","pe PMB apare parcela cu numarul 58-60 - de verificat"
410,"B-II-m-B-18356","B","II","m","B",18356,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4330176223748,26.1129693106352,,"Calea Călărașilor 59 sector 3",,,"Calea Călărașilor",59,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","PUTERNIC DEGRADAT",".",
411,"B-II-m-B-18357","B","II","m","B",18357,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4330258390979,26.1131755127464,,"Calea Călărașilor 61 sector 3",,,"Calea Călărașilor",61,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","CONSERVAT",".",
412,"B-II-m-B-18358","B","II","m","B",18358,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4330974171879,26.1153462550245,,"Calea Călărașilor 62 sector 3",,,"Calea Călărașilor",62,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
413,"B-II-m-B-18359","B","II","m","B",18359,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.433143,26.1154999,,"Calea Călărașilor 64 sector 3",,,"Calea Călărașilor",64,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX",,,,,,
414,"B-II-m-B-18360","B","II","m","B",18360,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331295,26.1156142,,"Calea Călărașilor 66 sector 3",,,"Calea Călărașilor",66,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX",,,,,,
415,"B-II-m-B-18361","B","II","m","B",18361,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331215004236,26.1138646285631,,"Calea Călărașilor 67 sector 3",,,"Calea Călărașilor",67,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX",,,,,,"nu e clar daca e parcela separata. Pe PMB apare nr. 67-69"
416,"B-II-m-B-18362","B","II","m","B",18362,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331335394539,26.1140482018477,,"Calea Călărașilor 69 sector 3",,,"Calea Călărașilor",69,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".","nu e clar daca e parcela separata. Pe PMB apare nr. 67-70"
417,"B-II-m-B-18363","B","II","m","B",18363,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4332030309244,26.1162961509086,,"Calea Călărașilor 72 sector 3",,,"Calea Călărașilor",72,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
418,"B-II-m-B-18364","B","II","m","B",18364,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.433211580778,26.1164434360969,,"Calea Călărașilor 74 sector 3",,,"Calea Călărașilor",74,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","PUTERNIC DEGRADAT",".",
419,"B-II-m-B-18365","B","II","m","B",18365,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4332392883804,26.1148432777656,,"Calea Călărașilor 77 sector 3",,,"Calea Călărașilor",77,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","PUTERNIC DEGRADAT","RISC PRĂBUȘIRE",
420,"B-II-m-B-18366","B","II","m","B",18366,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331952,26.1166232,,"Calea Călărașilor 78 sector 3",,,"Calea Călărașilor",78,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","RENOVAT",".",
421,"B-II-m-B-18367","B","II","m","B",18367,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331966,26.1168759,,"Calea Călărașilor 82 sector 3",,,"Calea Călărașilor",82,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
422,"B-II-m-A-18368","B","II","m","A",18368,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Biserica ""Sf. Ștefan"" - Călărași",44.4334593331665,26.1156844700161,,"Calea Călărașilor 83 sector 3",,,"Calea Călărașilor",83,"Patrimoniu religios","Clădire de cult","Biserică",1768,"DA","DA","NU","REABILITAT",".",
423,"B-II-m-B-18369","B","II","m","B",18369,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.433206,26.1169474,,"Calea Călărașilor 84 sector 3",,,"Calea Călărașilor",84,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
424,"B-II-m-B-18370","B","II","m","B",18370,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Imobil",44.4333888316314,26.1162456571977,,"Calea Călărașilor 85 sector 3",,,"Calea Călărașilor",85,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,"sf. sec. XIX","DA","DA","NU","CONSERVAT",".",
425,"B-II-m-B-18371","B","II","m","B",18371,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Imobil",44.433367,26.1165068,,"Calea Călărașilor 87 sector 3",,,"Calea Călărașilor",87,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,"sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
426,"B-II-m-B-18372","B","II","m","B",18372,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331836,26.117476,,"Calea Călărașilor 88 sector 3",,,"Calea Călărașilor",88,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
427,"B-II-m-B-18373","B","II","m","B",18373,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4333675093459,26.1166433927464,,"Calea Călărașilor 89 sector 3",,,"Calea Călărașilor",89,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","UN","DEGRADAT",".",
428,"B-II-m-B-18374","B","II","m","B",18374,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4333671607305,26.116737844496,,"Calea Călărașilor 91 sector 3",,,"Calea Călărașilor",91,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
429,"B-II-m-B-18375","B","II","m","B",18375,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.433129528434,26.1177322516509,,"Calea Călărașilor 92 sector 3",,,"Calea Călărașilor",92,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","PUTERNIC DEGRADAT",".",
430,"B-II-m-B-18376","B","II","m","B",18376,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4333564020792,26.1168801907667,,"Calea Călărașilor 93 sector 3",,,"Calea Călărașilor",93,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
431,"B-II-m-B-18377","B","II","m","B",18377,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331594048781,26.1181610767498,,"Calea Călărașilor 96 sector 3",,,"Calea Călărașilor",96,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX-XX","DA","DA","NU","REABILITAT",".",
432,"B-II-m-B-18378","B","II","m","B",18378,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă de târgoveț",44.4333679,26.1172251,,"Calea Călărașilor 97 sector 3",,,"Calea Călărașilor",97,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX",,,,,,
433,"B-II-m-B-18379","B","II","m","B",18379,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4333652887014,26.1175227777987,,"Calea Călărașilor 101 sector 3",,,"Calea Călărașilor",101,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
434,"B-II-m-B-18380","B","II","m","B",18380,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4333839,26.1176995,,"Calea Călărașilor 103 sector 3",,,"Calea Călărașilor",103,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX-XX","DA","DA","NU","REABILITAT",".",
435,"B-II-m-B-18381","B","II","m","B",18381,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4333564,26.1181568,,"Calea Călărașilor 105 sector 3",,,"Calea Călărașilor",105,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
436,"B-II-m-B-18382","B","II","m","B",18382,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331138112684,26.118859653126,,"Calea Călărașilor 106 sector 3",,,"Calea Călărașilor",106,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","RENOVAT","GOLURI FAȚADE MODIFICATE",
437,"B-II-m-B-18383","B","II","m","B",18383,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4332997,26.1182943,,"Calea Călărașilor 107 sector 3",,,"Calea Călărașilor",107,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
438,"B-II-m-B-18384","B","II","m","B",18384,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331080458658,26.118998043522,,"Calea Călărașilor 108 sector 3",,,"Calea Călărașilor",108,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
439,"B-II-m-B-18385","B","II","m","B",18385,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4333048617656,26.1184277801216,,"Calea Călărașilor 109 sector 3",,,"Calea Călărașilor",109,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","CONSERVAT",".",
440,"B-II-m-B-18386","B","II","m","B",18386,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4331143,26.1191679,,"Calea Călărașilor 110 sector 3",,,"Calea Călărașilor",110,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
441,"B-II-m-B-18387","B","II","m","B",18387,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4333249084272,26.1185594672425,,"Calea Călărașilor 111 sector 3",,,"Calea Călărașilor",111,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1895,"DA","DA","NU","CONSERVAT",".",
442,"B-II-m-B-18388","B","II","m","B",18388,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4329775628855,26.1204570238342,,"Calea Călărașilor 124 sector 3",,,"Calea Călărașilor",124,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","RENOVAT",".",
443,"B-II-m-B-18389","B","II","m","B",18389,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4329629469358,26.1206184845468,,"Calea Călărașilor 126 sector 3",,,"Calea Călărașilor",126,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","PUTERNIC DEGRADAT",".",
444,"B-II-m-B-18390","B","II","m","B",18390,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.43324,26.1197938,,"Calea Călărașilor 129 sector 3",,,"Calea Călărașilor",129,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
445,"B-II-m-B-18391","B","II","m","B",18391,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.432861220007,26.1213490407749,,"Calea Călărașilor 130 sector 3",,,"Calea Călărașilor",130,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","RENOVAT",".",
446,"B-II-m-B-18392","B","II","m","B",18392,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4328103382582,26.1216127058264,,"Calea Călărașilor 132 sector 3",,,"Calea Călărașilor",132,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
447,"B-II-m-A-18393","B","II","m","A",18393,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Hala Traian",44.4333339,26.1205631,,"Calea Călărașilor 133 sector 3",,,"Calea Călărașilor",133,"Patrimoniu reprezentativ","Clădire financiar-comerț",,1896,"DA","DA","NU","REABILITAT",".",
448,"B-II-m-B-18394","B","II","m","B",18394,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4327754944345,26.1218313877747,,"Calea Călărașilor 134 sector 3",,,"Calea Călărașilor",134,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".","de verificat, pe PMB apar 134 si 134A pe o singura parcela"
449,"B-II-m-B-18395","B","II","m","B",18395,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4327592574925,26.1220540927503,,"Calea Călărașilor 136 sector 3",,,"Calea Călărașilor",136,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
450,"B-II-m-B-18396","B","II","m","B",18396,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Imobil",44.4330846,26.1214526,,"Calea Călărașilor 137 sector 3",,,"Calea Călărașilor",137,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,"prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
451,"B-II-m-B-18397","B","II","m","B",18397,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4330075,26.121753,,"Calea Călărașilor 139 sector 3",,,"Calea Călărașilor",139,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
452,"B-II-m-B-18398","B","II","m","B",18398,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4329983,26.1218557,,"Calea Călărașilor 141 sector 3",,,"Calea Călărașilor",141,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
453,"B-II-m-B-18399","B","II","m","B",18399,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4327151,26.1224733,,"Calea Călărașilor 142 sector 3",,,"Calea Călărașilor",142,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
454,"B-II-m-B-18400","B","II","m","B",18400,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Imobil",44.4327101,26.1226094,,"Calea Călărașilor 144 sector 3",,,"Calea Călărașilor",144,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,"prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
455,"B-II-m-B-18401","B","II","m","B",18401,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4326348918672,26.1227810200594,,"Calea Călărașilor 146 sector 3",,,"Calea Călărașilor",146,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
456,"B-II-m-B-18402","B","II","m","B",18402,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Imobil",44.4326314183818,26.1229193534586,,"Calea Călărașilor 148 sector 3",,,"Calea Călărașilor",148,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,1909,"DA","DA","NU","DEGRADAT",".",
457,"B-II-m-B-18404","B","II","m","B",18404,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Imobil",44.4329312264705,26.1226254037397,,"Calea Călărașilor 151 sector 3",,,"Calea Călărașilor",151,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,"sf. sec. XIX - prima jum. sec. XX",,,,,,
458,"B-II-m-B-18405","B","II","m","B",18405,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Imobil",44.4325798484315,26.123186301963,,"Calea Călărașilor 152 sector 3",,,"Calea Călărașilor",152,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,"prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
459,"B-II-m-B-18406","B","II","m","B",18406,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Fostul Cinematograf ""Arta""",44.4328389,26.1229681,,"Calea Călărașilor 153 sector 3",,,"Calea Călărașilor",153,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,"sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
460,"B-II-m-B-18407","B","II","m","B",18407,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4328496,26.1230264,,"Calea Călărașilor 155 sector 3",,,"Calea Călărașilor",155,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
461,"B-II-m-B-18408","B","II","m","B",18408,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4328279718831,26.1235580887998,,"Calea Călărașilor 163 sector 3",,,"Calea Călărașilor",163,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
462,"B-II-m-B-18409","B","II","m","B",18409,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4316927040724,26.1324414175397,,"Calea Călărașilor 255 sector 3",,,"Calea Călărașilor",255,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX",,,,,,"de verificat, nu e clar care e numarul 255. Nu pare sa mai existe acest monument"
463,"B-II-m-B-18411","B","II","m","B",18411,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă George Călinescu",44.4622323483484,26.0994929424178,,"Str. Călinescu George 53 sector 1",,,"Str. Călinescu George",53,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
464,"B-II-m-B-18412","B","II","m","B",18412,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4287687861429,26.1130586383954,,"Str. Căuzași 26 sector 3",,,"Str. Căuzași",26,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DETERIORAT",".",
465,"B-II-m-B-18413","B","II","m","B",18413,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4288432199393,26.1127763563241,,"Str. Căuzași 29 sector 3",,,"Str. Căuzași",29,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
466,"B-II-m-B-18414","B","II","m","B",18414,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4288926,26.1129793,,"Str. Căuzași 31 sector 3",,,"Str. Căuzași",31,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DETERIORAT",".",
467,"B-II-m-B-18415","B","II","m","B",18415,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4290005,26.1131409,,"Str. Căuzași 33 sector 3",,,"Str. Căuzași",33,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
468,"B-II-m-B-18416","B","II","m","B",18416,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4295852,26.1142815,,"Str. Căuzași 38 sector 3",,,"Str. Căuzași",38,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX",,,,,,
469,"B-II-m-B-18417","B","II","m","B",18417,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.429731,26.1144452,,"Str. Căuzași 40 sector 3",,,"Str. Căuzași",40,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
470,"B-II-m-B-18418","B","II","m","B",18418,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4296456099701,26.1140545804903,,"Str. Căuzași 43 sector 3",,,"Str. Căuzași",43,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
471,"B-II-m-B-18420","B","II","m","B",18420,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Imobil",44.4378255277626,26.1006623179635,,"Str. Câmpineanu Ion 2 sector 1",,,"Str. Câmpineanu Ion",2,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,1920,"DA","DA","NU","REABILITAT",".",
472,"B-II-m-B-18421","B","II","m","B",18421,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Fostul Hotel Negoiu",44.4374688,26.0987843,,"Str. Câmpineanu Ion 16 sector 1",,,"Str. Câmpineanu Ion",16,"Patrimoniu reprezentativ","Clădire pentru turism",,"prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
473,"B-II-m-B-18422","B","II","m","B",18422,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Blocul Adriatica",44.437335481666,26.0972267892741,,"Str. Câmpineanu Ion 20 sector 1",,,"Str. Câmpineanu Ion",20,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
474,"B-II-m-B-18423","B","II","m","B",18423,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Sala Palatului",44.4390809,26.0950622,,"Str. Câmpineanu Ion 28 sector 1",,,"Str. Câmpineanu Ion",28,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,"jum. sec. XX","DA","DA","NU","CONSERVAT",".",
475,"B-II-m-B-19947","B","II","m","B",19947,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Halele Centrale Obor",44.4496817977887,26.1285088171056,,"Aleea Câmpul Moșilor 5 sector 2",,,"Aleea Câmpul Moșilor",5,"Patrimoniu reprezentativ","Clădire financiar-comerț",,"1937 - 1950","DA","DA","UN","REABILITAT",".",
476,"B-II-m-B-18430","B","II","m","B",18430,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4548601,26.0994212,,"Str. Chile 4 sector 1",,,"Str. Chile",4,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU",".",".",".","NELOCALIZAT",
477,"B-II-m-B-18431","B","II","m","B",18431,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4548685074642,26.0997600571266,,"Str. Chile 8 sector 1",,,"Str. Chile",8,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","CONSERVAT",,
