"nr","cod_lmi","cod_lmi_jud","cod_lmi_nat","cod_lmi_grupa","cod_lmi_val","cod_lmi_num","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","latitudine_y","longitudine_x","cota","adresa","observatii_adresa","cod_postal","strada_nume","strada_numar","tip_patrimoniu","program_arhitectura","tip_monument","datare","fotografiat","existent","constructie_noua","stare_generala","observatii","observatii_cc"
15,"B-II-m-B-17947","B","II","m","B",17947,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Muzeul Frederick și Cecilia Cuțescu Storck",44.4509833,26.0947206,,"Str. Alecsandri Vasile 16 sector 1",,,"Str. Alecsandri Vasile",16,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,1914,"DA","DA","NU","REABILITAT",".",
16,"B-II-m-B-17948","B","II","m","B",17948,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4512074103689,26.0944333810185,,"Str. Alecsandri Vasile 18 sector 1",,,"Str. Alecsandri Vasile",18,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","RENOVAT",".",
17,"B-II-m-B-17949","B","II","m","B",17949,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4512857,26.0943833,,"Str. Alecsandri Vasile 20 sector 1",,,"Str. Alecsandri Vasile",20,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
18,"B-II-m-B-17950","B","II","m","B",17950,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă lulia Constantinescu",44.4507054409541,26.0882974973915,,"Str. Alexandrescu Grigore 6 sector 1",,,"Str. Alexandrescu Grigore",6,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
19,"B-II-m-B-17951","B","II","m","B",17951,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4507338641782,26.0886481451788,,"Str. Alexandrescu Grigore 10 sector 1",,,"Str. Alexandrescu Grigore",10,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
20,"B-II-m-B-17952","B","II","m","B",17952,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.450937,26.0893799,,"Str. Alexandrescu Grigore 12 sector 1",,,"Str. Alexandrescu Grigore",12,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT","COINCIDE B-II-m-B-18337","Posibil sa coincida cu B-II-m-B-18337"
21,"B-II-m-B-17953","B","II","m","B",17953,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4509389953296,26.0899037660005,,"Str. Alexandrescu Grigore 14 sector 1",,,"Str. Alexandrescu Grigore",14,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
22,"B-II-m-B-17954","B","II","m","B",17954,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4511548,26.0911899,,"Str. Alexandrescu Grigore 26 sector 1",,,"Str. Alexandrescu Grigore",26,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
23,"B-II-m-B-17955","B","II","m","B",17955,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4511774,26.0912599,,"Str. Alexandrescu Grigore 28 sector 1",,,"Str. Alexandrescu Grigore",28,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
24,"B-II-m-B-17956","B","II","m","B",17956,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4512492,26.0918369,,"Str. Alexandrescu Grigore 32-34 sector 1",,,"Str. Alexandrescu Grigore","32-34","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
25,"B-II-m-B-17957","B","II","m","B",17957,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4511543534803,26.0918542755507,,"Str. Alexandrescu Grigore 39 sector 1",,,"Str. Alexandrescu Grigore",39,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT","De repoziționat în bază. Este vis-a-vis de B-II-m-B-17956",
26,"B-II-m-B-17958","B","II","m","B",17958,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4554311623192,26.0869651180744,,"Aleea Alexandru 4 sector 1",,,"Aleea Alexandru",4,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
