cod_lmi;SIRSUP;rang;UAT;SIRUTA;localitate;SIRINF;sector;adresa;strada_nume;strada_numar;cod_lmi_jud;cod_lmi_nat;cod_lmi_grupa;cod_lmi_val;cod_lmi_num;tip_patrimoniu;program;tip_monument;denumire;observatii_adresa;fotografiat;Inexistent;constructie_noua;stare;observatii;observatii_corina;datare;x;y
B-II-m-B-17957;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alexandrescu Grigore 39 sector 1;Str. Alexandrescu Grigore;39;B;II;m;B;17957;;;;Casă;;DA;NU;NU;REABILITAT;De repoziționat în bază. Este vis-a-vis de B-II-m-B-17956;;sf. sec. XIX - prima jum. sec. XX;26.0918542755507;44.4511543534803
B-II-m-B-17958;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 4 sector 1;Aleea Alexandru;4;B;II;m;B;17958;;;;Casă;;DA;NU;NU;REABILITAT;.;;prima jum. sec. XX;26.0869651180744;44.4554311623192
B-II-m-B-17959;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 5 sector 1;Aleea Alexandru;5;B;II;m;B;17959;;;;Casă;;NU;NU;NU;CONSERVAT;VEGETAȚIE;;prima jum. sec. XX;26.0874501060898;44.455785377777
B-II-m-B-17960;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 6 sector 1;Aleea Alexandru;6;B;II;m;B;17960;;;;Casă;;DA;NU;NU;DETERIORAT;.;;prima jum. sec. XX;26.0872082317621;44.455454392171
B-II-m-B-17961;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 7 sector 1;Aleea Alexandru;7;B;II;m;B;17961;;;;Casă;;NU;NU;NU;CONSERVAT;VEGETAȚIE;;prima jum. sec. XX;26.0877358;44.4557459
B-II-m-B-17962;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 8 sector 1;Aleea Alexandru;8;B;II;m;B;17962;;;;Casă;;DA;NU;NU;CONSERVAT;.;;prima jum. sec. XX;26.0875318043028;44.4554337097559
B-II-m-B-17963;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 14 sector 1;Aleea Alexandru;14;B;II;m;B;17963;;;;Casă;;NU;NU;NU;REABILITAT;VEGETAȚIE;;prima jum. sec. XX;26.0884085137222;44.4556066116091
B-II-m-B-17964;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 19 sector 1;Aleea Alexandru;19;B;II;m;B;17964;;;;Casă;;NU;NU;NU;CONSERVAT;AMBASADĂ;;prima jum. sec. XX;26.0892023;44.4565018
B-II-m-B-17965;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 22 sector 1;Aleea Alexandru;22;B;II;m;B;17965;;;;Casă;;NU;NU;NU;CONSERVAT;VEGETAȚIE;;prima jum. sec. XX;26.089622257989;44.4563724520597
B-II-m-B-17966;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 23 sector 1;Aleea Alexandru;23;B;II;m;B;17966;;;;Casă;;NU;NU;NU;CONSERVAT;AMBASADĂ;;prima jum. sec. XX;26.0895671;44.4570849
B-II-m-B-17967;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 33 sector 1;Aleea Alexandru;33;B;II;m;B;17967;;;;Casă;;NU;NU;NU;CONSERVAT;VEGETAȚIE;;prima jum. sec. XX;26.0890293978686;44.4582235547377
B-II-m-B-17968;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 34 sector 1;Aleea Alexandru;34;B;II;m;B;17968;;;;Casă;;NU;DA;DA;.;CONSTRUCȚIE NOUĂ;de verificat exact care e numarul 34. Pe site-ul PMB nu apare numarul postal. Pe google pare sa fie o cladire noua la adresa;prima jum. sec. XX;26.0894922369339;44.4583708806955
B-II-m-B-17969;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 35 sector 1;Aleea Alexandru;35;B;II;m;B;17969;;;;Casă;;NU;NU;NU;CONSERVAT;VEGETAȚIE;;prima jum. sec. XX;26.0887619120978;44.4584108295804
B-II-m-B-17970;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 37 sector 1;Aleea Alexandru;37;B;II;m;B;17970;;;;Casă;;NU;NU;NU;CONSERVAT;VEGETAȚIE;;prima jum. sec. XX;26.0885555786094;44.4584938328789
B-II-m-B-17971;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 38 sector 1;Aleea Alexandru;38;B;II;m;B;17971;;;;Casă;;DA;NU;NU;CONSERVAT;.;;prima jum. sec. XX;26.0880944;44.4591177
B-II-m-B-17972;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 40 sector 1;Aleea Alexandru;40;B;II;m;B;17972;;;;Casă;;DA;NU;NU;CONSERVAT;.;;prima jum. sec. XX;26.0876723;44.459059
B-II-m-B-17973;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 41 sector 1;Aleea Alexandru;41;B;II;m;B;17973;;;;Casă;;NU;NU;NU;CONSERVAT;AMBASADĂ;;prima jum. sec. XX;26.0879224718698;44.4586814836035
B-II-m-B-17974;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 43 sector 1;Aleea Alexandru;43;B;II;m;B;17974;;;;Casă;;NU;NU;NU;CONSERVAT;AMBASADĂ;;prima jum. sec. XX;26.0876822299703;44.4587018290287
B-II-m-B-17975;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 44 sector 1;Aleea Alexandru;44;B;II;m;B;17975;;;;Casă;;DA;NU;NU;CONSERVAT;.;;prima jum. sec. XX;26.087126176928;44.4590305880532
B-II-m-B-17976;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 45 sector 1;Aleea Alexandru;45;B;II;m;B;17976;;;;Casă;;NU;NU;NU;CONSERVAT;AMBASADĂ;de verificat daca mai sunt doua adrese. Pe site-ul PMB apare doar parcela cu numarul 45 cu doua case;prima jum. sec. XX;26.0874509313307;44.4587181847542
B-II-m-B-17977;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Aleea Alexandru 47 sector 1;Aleea Alexandru;47;B;II;m;B;17977;;;;Casă;;NU;NU;NU;CONSERVAT;AMBASADĂ;;prima jum. sec. XX;26.0871222173127;44.458716358742
